,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
7,Ladder,20211006T161111.000Z,Rainbow Socks,CHN丨Trex✨,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Electro Spirit,Flying Machine,Fireball,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Barbarian Barrel
8,Ladder,20211006T160533.000Z,Rainbow Socks,STALKER™,0,1,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Knight,Skeletons,Fireball,Archers,X-Bow,The Log,Tesla,Ice Spirit
9,Ladder,20211006T160143.000Z,Rainbow Socks,Real Madrid,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Ice Golem,Hog Rider,Musketeer,Fireball,Electro Spirit,Skeletons,Cannon,The Log
10,Ladder,20211006T155613.000Z,Rainbow Socks,johan sc XD,0,3,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Lumberjack,Inferno Dragon,Tornado,Freeze,Bowler,Balloon,Electro Dragon,Barbarian Barrel
12,Ladder,20211006T132153.000Z,Rainbow Socks,War Boy,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Baby Dragon,The Log,Lightning,Mega Minion,Golem,Night Witch,Dark Prince,Tornado
13,Ladder,20211006T131626.000Z,Rainbow Socks,Chubbsy,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Golem,Lumberjack,Cannon Cart,Bomber,Tornado,Mega Minion,Electro Dragon,Arrows
14,Ladder,20211006T131048.000Z,Rainbow Socks,Show,0,1,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Royal Recruits,Royal Hogs,Zappies,Flying Machine,Goblin Cage,Fireball,Barbarian Barrel,Arrows
15,Ladder,20211006T130610.000Z,Rainbow Socks,White Mamba,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Bats,Spear Goblins,Arrows,Royal Giant,Skeleton Army,Firecracker,Skeleton Barrel,Mega Knight
16,Ladder,20211006T130154.000Z,Rainbow Socks,Rafinha™,1,3,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Giant,Graveyard,Dark Prince,Arrows,Giant Snowball,Skeleton Army,Bats,Musketeer
17,Ladder,20211006T112902.000Z,Rainbow Socks,LEDライト,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Electro Giant,Baby Dragon,Mega Minion,Goblin Cage,Lightning,Tornado,Dark Prince,Barbarian Barrel
